Train on 60000 samples, validate on 10000 samples
22528/60000 [==========>...................] - ETA: 17s - loss: 0.2827
22656/60000 [==========>...................] - ETA: 17s - loss: 0.2823
22784/60000 [==========>...................] - ETA: 17s - loss: 0.2819
22912/60000 [==========>...................] - ETA: 17s - loss: 0.2815
23040/60000 [==========>...................] - ETA: 17s - loss: 0.2811
23168/60000 [==========>...................] - ETA: 16s - loss: 0.2808
23296/60000 [==========>...................] - ETA: 16s - loss: 0.2803
23424/60000 [==========>...................] - ETA: 16s - loss: 0.2799
23552/60000 [==========>...................] - ETA: 16s - loss: 0.2794
23680/60000 [==========>...................] - ETA: 16s - loss: 0.2790
23808/60000 [==========>...................] - ETA: 16s - loss: 0.2786
23936/60000 [==========>...................] - ETA: 16s - loss: 0.2781
24064/60000 [===========>..................] - ETA: 16s - loss: 0.2776
24192/60000 [===========>..................] - ETA: 16s - loss: 0.2773
24320/60000 [===========>..................] - ETA: 16s - loss: 0.2768
24448/60000 [===========>..................] - ETA: 16s - loss: 0.2764
24576/60000 [===========>..................] - ETA: 16s - loss: 0.2760
24704/60000 [===========>..................] - ETA: 16s - loss: 0.2756
24832/60000 [===========>..................] - ETA: 16s - loss: 0.2752
24960/60000 [===========>..................] - ETA: 16s - loss: 0.2749
25088/60000 [===========>..................] - ETA: 15s - loss: 0.2746
25216/60000 [===========>..................] - ETA: 15s - loss: 0.2742
25344/60000 [===========>..................] - ETA: 15s - loss: 0.2739
25472/60000 [===========>..................] - ETA: 15s - loss: 0.2735
25600/60000 [===========>..................] - ETA: 15s - loss: 0.2731
25728/60000 [===========>..................] - ETA: 15s - loss: 0.2728
25856/60000 [===========>..................] - ETA: 15s - loss: 0.2724
25984/60000 [===========>..................] - ETA: 15s - loss: 0.2720
26112/60000 [============>.................] - ETA: 15s - loss: 0.2717
26240/60000 [============>.................] - ETA: 15s - loss: 0.2714
26368/60000 [============>.................] - ETA: 15s - loss: 0.2710
26496/60000 [============>.................] - ETA: 15s - loss: 0.2707
26624/60000 [============>.................] - ETA: 15s - loss: 0.2704
26752/60000 [============>.................] - ETA: 15s - loss: 0.2700
26880/60000 [============>.................] - ETA: 15s - loss: 0.2697
27008/60000 [============>.................] - ETA: 15s - loss: 0.2694
27136/60000 [============>.................] - ETA: 14s - loss: 0.2692
27264/60000 [============>.................] - ETA: 14s - loss: 0.2689
27392/60000 [============>.................] - ETA: 14s - loss: 0.2686
27520/60000 [============>.................] - ETA: 14s - loss: 0.2683
27648/60000 [============>.................] - ETA: 14s - loss: 0.2680
27776/60000 [============>.................] - ETA: 14s - loss: 0.2677
27904/60000 [============>.................] - ETA: 14s - loss: 0.2674
28032/60000 [=============>................] - ETA: 14s - loss: 0.2671
28160/60000 [=============>................] - ETA: 14s - loss: 0.2668
28288/60000 [=============>................] - ETA: 14s - loss: 0.2664
28416/60000 [=============>................] - ETA: 14s - loss: 0.2661
28544/60000 [=============>................] - ETA: 14s - loss: 0.2659
28672/60000 [=============>................] - ETA: 14s - loss: 0.2656
28800/60000 [=============>................] - ETA: 14s - loss: 0.2653
28928/60000 [=============>................] - ETA: 14s - loss: 0.2650
29056/60000 [=============>................] - ETA: 13s - loss: 0.2647
29184/60000 [=============>................] - ETA: 13s - loss: 0.2645
29312/60000 [=============>................] - ETA: 13s - loss: 0.2641
29440/60000 [=============>................] - ETA: 13s - loss: 0.2638
29568/60000 [=============>................] - ETA: 13s - loss: 0.2635
29696/60000 [=============>................] - ETA: 13s - loss: 0.2633
29824/60000 [=============>................] - ETA: 13s - loss: 0.2630
29952/60000 [=============>................] - ETA: 13s - loss: 0.2627
30080/60000 [==============>...............] - ETA: 13s - loss: 0.2625
30208/60000 [==============>...............] - ETA: 13s - loss: 0.2622
30336/60000 [==============>...............] - ETA: 13s - loss: 0.2619
30464/60000 [==============>...............] - ETA: 13s - loss: 0.2616
30592/60000 [==============>...............] - ETA: 13s - loss: 0.2614
30720/60000 [==============>...............] - ETA: 13s - loss: 0.2611
30848/60000 [==============>...............] - ETA: 13s - loss: 0.2608
30976/60000 [==============>...............] - ETA: 13s - loss: 0.2606
31104/60000 [==============>...............] - ETA: 12s - loss: 0.2603
31232/60000 [==============>...............] - ETA: 12s - loss: 0.2600
31360/60000 [==============>...............] - ETA: 12s - loss: 0.2598
31488/60000 [==============>...............] - ETA: 12s - loss: 0.2596
31616/60000 [==============>...............] - ETA: 12s - loss: 0.2593
31744/60000 [==============>...............] - ETA: 12s - loss: 0.2591
31872/60000 [==============>...............] - ETA: 12s - loss: 0.2588
32000/60000 [===============>..............] - ETA: 12s - loss: 0.2585
32128/60000 [===============>..............] - ETA: 12s - loss: 0.2583
32256/60000 [===============>..............] - ETA: 12s - loss: 0.2580
32384/60000 [===============>..............] - ETA: 12s - loss: 0.2577
32512/60000 [===============>..............] - ETA: 12s - loss: 0.2575
32640/60000 [===============>..............] - ETA: 12s - loss: 0.2572
32768/60000 [===============>..............] - ETA: 12s - loss: 0.2569
32896/60000 [===============>..............] - ETA: 12s - loss: 0.2567
33024/60000 [===============>..............] - ETA: 12s - loss: 0.2565
33152/60000 [===============>..............] - ETA: 12s - loss: 0.2562
33280/60000 [===============>..............] - ETA: 11s - loss: 0.2560
33408/60000 [===============>..............] - ETA: 11s - loss: 0.2558
33536/60000 [===============>..............] - ETA: 11s - loss: 0.2555
33664/60000 [===============>..............] - ETA: 11s - loss: 0.2553
33792/60000 [===============>..............] - ETA: 11s - loss: 0.2550
33920/60000 [===============>..............] - ETA: 11s - loss: 0.2548
34048/60000 [================>.............] - ETA: 11s - loss: 0.2545
34176/60000 [================>.............] - ETA: 11s - loss: 0.2543
34304/60000 [================>.............] - ETA: 11s - loss: 0.2540
34432/60000 [================>.............] - ETA: 11s - loss: 0.2538
34560/60000 [================>.............] - ETA: 11s - loss: 0.2536
34688/60000 [================>.............] - ETA: 11s - loss: 0.2533
34816/60000 [================>.............] - ETA: 11s - loss: 0.2531
34944/60000 [================>.............] - ETA: 11s - loss: 0.2529
35072/60000 [================>.............] - ETA: 11s - loss: 0.2527
35200/60000 [================>.............] - ETA: 11s - loss: 0.2525
35328/60000 [================>.............] - ETA: 11s - loss: 0.2522
35456/60000 [================>.............] - ETA: 10s - loss: 0.2520
35584/60000 [================>.............] - ETA: 10s - loss: 0.2518
35712/60000 [================>.............] - ETA: 10s - loss: 0.2516
35840/60000 [================>.............] - ETA: 10s - loss: 0.2514
35968/60000 [================>.............] - ETA: 10s - loss: 0.2511
36096/60000 [=================>............] - ETA: 10s - loss: 0.2509
36224/60000 [=================>............] - ETA: 10s - loss: 0.2507
36352/60000 [=================>............] - ETA: 10s - loss: 0.2505
36480/60000 [=================>............] - ETA: 10s - loss: 0.2503
36608/60000 [=================>............] - ETA: 10s - loss: 0.2501
36736/60000 [=================>............] - ETA: 10s - loss: 0.2500
36864/60000 [=================>............] - ETA: 10s - loss: 0.2498
36992/60000 [=================>............] - ETA: 10s - loss: 0.2496
37120/60000 [=================>............] - ETA: 10s - loss: 0.2494
37248/60000 [=================>............] - ETA: 10s - loss: 0.2492
37376/60000 [=================>............] - ETA: 10s - loss: 0.2490
37504/60000 [=================>............] - ETA: 10s - loss: 0.2488
37632/60000 [=================>............] - ETA: 9s - loss: 0.2486 
37760/60000 [=================>............] - ETA: 9s - loss: 0.2484
37888/60000 [=================>............] - ETA: 9s - loss: 0.2482
38016/60000 [==================>...........] - ETA: 9s - loss: 0.2480
38144/60000 [==================>...........] - ETA: 9s - loss: 0.2478
38272/60000 [==================>...........] - ETA: 9s - loss: 0.2477
38400/60000 [==================>...........] - ETA: 9s - loss: 0.2475
38528/60000 [==================>...........] - ETA: 9s - loss: 0.2473
38656/60000 [==================>...........] - ETA: 9s - loss: 0.2471
38784/60000 [==================>...........] - ETA: 9s - loss: 0.2469
38912/60000 [==================>...........] - ETA: 9s - loss: 0.2467
39040/60000 [==================>...........] - ETA: 9s - loss: 0.2465
39168/60000 [==================>...........] - ETA: 9s - loss: 0.2463
39296/60000 [==================>...........] - ETA: 9s - loss: 0.2461
39424/60000 [==================>...........] - ETA: 9s - loss: 0.2460
39552/60000 [==================>...........] - ETA: 9s - loss: 0.2458
39680/60000 [==================>...........] - ETA: 9s - loss: 0.2456
39808/60000 [==================>...........] - ETA: 8s - loss: 0.2454
39936/60000 [==================>...........] - ETA: 8s - loss: 0.2452
40064/60000 [===================>..........] - ETA: 8s - loss: 0.2450
40192/60000 [===================>..........] - ETA: 8s - loss: 0.2448
40320/60000 [===================>..........] - ETA: 8s - loss: 0.2446
40448/60000 [===================>..........] - ETA: 8s - loss: 0.2445
40576/60000 [===================>..........] - ETA: 8s - loss: 0.2443
40704/60000 [===================>..........] - ETA: 8s - loss: 0.2441
40832/60000 [===================>..........] - ETA: 8s - loss: 0.2439
40960/60000 [===================>..........] - ETA: 8s - loss: 0.2438
41088/60000 [===================>..........] - ETA: 8s - loss: 0.2436
41216/60000 [===================>..........] - ETA: 8s - loss: 0.2434
41344/60000 [===================>..........] - ETA: 8s - loss: 0.2432
41472/60000 [===================>..........] - ETA: 8s - loss: 0.2431
41600/60000 [===================>..........] - ETA: 8s - loss: 0.2429
41728/60000 [===================>..........] - ETA: 8s - loss: 0.2427
41856/60000 [===================>..........] - ETA: 8s - loss: 0.2425
41984/60000 [===================>..........] - ETA: 7s - loss: 0.2424
42112/60000 [====================>.........] - ETA: 7s - loss: 0.2422
42240/60000 [====================>.........] - ETA: 7s - loss: 0.2420
42368/60000 [====================>.........] - ETA: 7s - loss: 0.2419
42496/60000 [====================>.........] - ETA: 7s - loss: 0.2417
42624/60000 [====================>.........] - ETA: 7s - loss: 0.2415
42752/60000 [====================>.........] - ETA: 7s - loss: 0.2414
42880/60000 [====================>.........] - ETA: 7s - loss: 0.2412
43008/60000 [====================>.........] - ETA: 7s - loss: 0.2411
43136/60000 [====================>.........] - ETA: 7s - loss: 0.2409
43264/60000 [====================>.........] - ETA: 7s - loss: 0.2408
43392/60000 [====================>.........] - ETA: 7s - loss: 0.2406
43520/60000 [====================>.........] - ETA: 7s - loss: 0.2404
43648/60000 [====================>.........] - ETA: 7s - loss: 0.2402
43776/60000 [====================>.........] - ETA: 7s - loss: 0.2401
43904/60000 [====================>.........] - ETA: 7s - loss: 0.2399
44032/60000 [=====================>........] - ETA: 7s - loss: 0.2397
44160/60000 [=====================>........] - ETA: 6s - loss: 0.2396
44288/60000 [=====================>........] - ETA: 6s - loss: 0.2394
44416/60000 [=====================>........] - ETA: 6s - loss: 0.2392
44544/60000 [=====================>........] - ETA: 6s - loss: 0.2391
44672/60000 [=====================>........] - ETA: 6s - loss: 0.2389
44800/60000 [=====================>........] - ETA: 6s - loss: 0.2387
44928/60000 [=====================>........] - ETA: 6s - loss: 0.2386
45056/60000 [=====================>........] - ETA: 6s - loss: 0.2384
45184/60000 [=====================>........] - ETA: 6s - loss: 0.2383
45312/60000 [=====================>........] - ETA: 6s - loss: 0.2381
